Date,Q-P1,Q-P2,Q-P3,Q-P4,S-P1,S-P2,S-P3,S-P4,Total_Sales
2013-02-21,4074,824,2435,323,12914.58,5224.16,13197.7,2302.99,33639.43
2013-02-22,6262,2971,3161,1670,19850.54,18836.14,17132.62,11907.1,67726.40000000001
2013-02-23,3719,2596,5155,1427,11789.23,16458.64,27940.1,10174.51,66362.48
2013-02-24,6520,700,4028,1651,20668.4,4438.0,21831.76,11771.63,58709.79
2013-02-25,3968,784,994,723,12578.56,4970.56,5387.48,5154.99,28091.589999999997
2013-02-26,4687,2600,4744,1994,14857.79,16484.0,25712.48,14217.22,71271.49
2013-02-27,5373,982,2917,1273,17032.41,6225.88,15810.14,9076.49,48144.92
2013-02-28,5008,1261,4434,583,15875.36,7994.74,24032.28,4156.79,52059.17
2013-03-01,625,1664,5471,865,1981.25,10549.76,29652.82,6167.45,48351.28
2013-03-02,7168,580,3166,693,22722.56,3677.2,17159.72,4941.09,48500.57000000001
2013-03-03,4126,3150,2606,878,13079.42,19971.0,14124.52,6260.14,53435.08
2013-03-04,2424,1790,2966,949,7684.08,11348.6,16075.72,6766.37,41874.770000000004
2013-03-05,4811,925,4208,769,15250.87,5864.5,22807.36,5482.97,49405.700000000004
2013-03-06,4269,3176,4701,1720,13532.73,20135.84,25479.42,12263.6,71411.59
2013-03-07,2214,1245,1193,429,7018.38,7893.3,6466.06,3058.77,24436.510000000002
2013-03-08,7479,677,4792,1324,23708.43,4292.18,25972.64,9440.12,63413.37
2013-03-09,7599,1303,3561,1024,24088.83,8261.02,19300.62,7301.12,58951.590000000004
2013-03-10,6652,3501,5970,1946,21086.84,22196.34,32357.4,13874.98,89515.56
2013-03-11,2189,742,2534,1476,6939.13,4704.28,13734.28,10523.88,35901.57
2013-03-12,479,1397,4527,954,1518.43,8856.98,24536.34,6802.02,41713.770000000004
2013-03-13,3298,3335,1363,1911,10454.66,21143.9,7387.46,13625.43,52611.450000000004
2013-03-14,489,2568,4280,275,1550.13,16281.12,23197.6,1960.75,42989.6
2013-03-15,2987,2069,2337,325,9468.79,13117.46,12666.54,2317.25,37570.04
2013-03-16,7478,1742,4233,809,23705.26,11044.28,22942.86,5768.17,63460.57
2013-03-17,7202,471,2064,351,22830.34,2986.14,11186.88,2502.63,39505.99
2013-03-18,3100,1006,5087,1621,9827.0,6378.04,27571.54,11557.73,55334.31
2013-03-19,7500,1965,769,768,23775.0,12458.1,4167.98,5475.84,45876.92
2013-03-20,3007,1783,3482,1421,9532.19,11304.22,18872.44,10131.73,49840.58
2013-03-21,5538,2867,5139,1824,17555.46,18176.78,27853.38,13005.12,76590.73999999999
2013-03-22,7658,2328,3326,1284,24275.86,14759.52,18026.92,9154.92,66217.22
2013-03-23,3325,1746,5804,1499,10540.25,11069.64,31457.68,10687.87,63755.44
2013-03-24,5363,2384,2298,978,17000.71,15114.56,12455.16,6973.14,51543.56999999999
2013-03-25,7511,3378,1668,1017,23809.87,21416.52,9040.56,7251.21,61518.159999999996
2013-03-26,4290,719,1029,828,13599.3,4558.46,5577.18,5903.64,29638.579999999998
2013-03-27,4068,2503,2921,842,12895.56,15869.02,15831.82,6003.46,50599.86
2013-03-28,1375,2207,5933,937,4358.75,13992.38,32156.86,6680.81,57188.799999999996
2013-03-29,4272,3434,4858,542,13542.24,21771.56,26330.36,3864.46,65508.62
2013-03-30,5291,2845,3608,1207,16772.47,18037.3,19555.36,8605.91,62971.04000000001
2013-03-31,2258,1329,1068,1287,7157.86,8425.86,5788.56,9176.31,30548.590000000004
2013-04-01,757,618,1922,1765,2399.69,3918.12,10417.24,12584.45,29319.5
2013-04-02,4196,3895,3519,1883,13301.32,24694.3,19072.98,13425.79,70494.38999999998
2013-04-03,1207,3861,3980,1443,3826.19,24478.74,21571.6,10288.59,60165.119999999995
2013-04-04,2918,3591,2585,1335,9250.06,22766.94,14010.7,9518.55,55546.25
2013-04-05,3951,878,3479,596,12524.67,5566.52,18856.18,4249.48,41196.850000000006
2013-04-06,2274,3092,1015,1629,7208.58,19603.28,5501.3,11614.77,43927.93
2013-04-07,1776,661,3456,1754,5629.92,4190.74,18731.52,12506.02,41058.2
2013-04-08,6632,831,5986,583,21023.44,5268.54,32444.12,4156.79,62892.89
2013-04-09,7786,1114,4382,415,24681.62,7062.76,23750.44,2958.95,58453.76999999999
2013-04-10,528,450,5673,1751,1673.76,2853.0,30747.66,12484.63,47759.049999999996
2013-04-11,2282,1151,5107,1201,7233.94,7297.34,27679.94,8563.13,50774.35
2013-04-12,4304,995,1201,745,13643.68,6308.3,6509.42,5311.85,31773.25
2013-04-13,2112,1467,3400,1000,6695.04,9300.78,18428.0,7130.0,41553.82
2013-04-14,2266,2581,454,1855,7183.22,16363.54,2460.68,13226.15,39233.590000000004
2013-04-15,7211,842,1981,1238,22858.87,5338.28,10737.02,8826.94,47761.11
2013-04-16,5978,3863,5636,1022,18950.26,24491.42,30547.12,7286.86,81275.65999999999
2013-04-17,5587,653,586,799,17710.79,4140.02,3176.12,5696.87,30723.8
2013-04-18,6175,2007,1938,342,19574.75,12724.38,10503.96,2438.46,45241.549999999996
2013-04-19,6773,1738,1907,1974,21470.41,11018.92,10335.94,14074.62,56899.89000000001
2013-04-20,3224,1946,2660,1931,10220.08,12337.64,14417.2,13768.03,50742.95
2013-04-21,6924,2905,3003,1463,21949.08,18417.7,16276.26,10431.19,67074.23
2013-04-22,7573,2667,1306,455,24006.41,16908.78,7078.52,3244.15,51237.86000000001
2013-04-23,4641,3253,1671,1395,14711.97,20624.02,9056.82,9946.35,54339.159999999996
2013-04-24,7351,3205,4797,1207,23302.67,20319.7,25999.74,8605.91,78228.02
2013-04-25,2238,306,3875,1581,7094.46,1940.04,21002.5,11272.53,41309.53
2013-04-26,1143,3581,5659,811,3623.31,22703.54,30671.78,5782.43,62781.060000000005
2013-04-27,4807,1513,1447,1710,15238.19,9592.42,7842.74,12192.3,44865.649999999994
2013-04-28,482,3889,3614,1788,1527.94,24656.26,19587.88,12748.44,58520.520000000004
2013-04-29,2890,3223,3997,1641,9161.3,20433.82,21663.74,11700.33,62959.19
2013-04-30,5656,1430,4956,747,17929.52,9066.2,26861.52,5326.11,59183.350000000006
2013-05-01,1674,2811,5545,1747,5306.58,17821.74,30053.9,12456.11,65638.33
2013-05-02,354,3005,1747,1840,1122.18,19051.7,9468.74,13119.2,42761.82000000001
2013-05-03,7794,2577,5005,301,24706.98,16338.18,27127.1,2146.13,70318.39000000001
2013-05-04,3537,1835,2953,792,11212.29,11633.9,16005.26,5646.96,44498.41
2013-05-05,5714,1170,5449,1558,18113.38,7417.8,29533.58,11108.54,66173.3
2013-05-06,5753,341,4345,904,18237.01,2161.94,23549.9,6445.52,50394.369999999995
2013-05-07,7274,1656,4003,706,23058.58,10499.04,21696.26,5033.78,60287.66
2013-05-08,832,1163,4870,1455,2637.44,7373.42,26395.4,10374.15,46780.41
2013-05-09,2773,922,2808,1344,8790.41,5845.48,15219.36,9582.72,39437.97
2013-05-10,6101,2559,4903,822,19340.17,16224.06,26574.26,5860.86,67999.34999999999
2013-05-11,1057,2681,3825,1837,3350.69,16997.54,20731.5,13097.81,54177.53999999999
2013-05-12,4502,3946,267,431,14271.34,25017.64,1447.14,3073.03,43809.149999999994
2013-05-13,481,3715,1102,1696,1524.77,23553.1,5972.84,12092.48,43143.19
2013-05-14,319,2352,1147,1993,1011.23,14911.68,6216.74,14210.09,36349.740000000005
2013-05-15,6541,907,3143,1921,20734.97,5750.38,17035.06,13696.73,57217.14
2013-05-16,6082,2802,4913,702,19279.94,17764.68,26628.46,5005.26,68678.34
2013-05-17,2964,2835,4022,1175,9395.88,17973.9,21799.24,8377.75,57546.770000000004
2013-05-18,4901,1745,502,1784,15536.17,11063.3,2720.84,12719.92,42040.23
2013-05-19,2622,2997,2385,752,8311.74,19000.98,12926.7,5361.76,45601.18
2013-05-20,3409,2334,728,1636,10806.53,14797.56,3945.76,11664.68,41214.53
2013-05-21,4986,2345,5485,298,15805.62,14867.3,29728.7,2124.74,62526.35999999999
2013-05-22,7017,3970,4691,1844,22243.89,25169.8,25425.22,13147.72,85986.63
2013-05-23,4541,753,1876,1593,14394.97,4774.02,10167.92,11358.09,40695.0
2013-05-24,2834,2022,1181,1744,8983.78,12819.48,6401.02,12434.72,40639.0
2013-05-25,5885,3060,4387,1430,18655.45,19400.4,23777.54,10195.9,72029.29000000001
2013-05-26,7769,3640,4168,344,24627.73,23077.6,22590.56,2452.72,72748.61
2013-05-27,1058,3199,477,1210,3353.86,20281.66,2585.34,8627.3,34848.16
2013-05-28,3669,817,5313,1285,11630.73,5179.78,28796.46,9162.05,54769.020000000004
2013-05-29,3342,2810,1083,1370,10594.14,17815.4,5869.86,9768.1,44047.5
2013-05-30,7732,3239,5503,1164,24510.44,20535.26,29826.26,8299.32,83171.28
2013-05-31,7547,2538,3873,410,23923.99,16090.92,20991.66,2923.3,63929.87000000001
2013-06-01,289,2737,744,601,916.13,17352.58,4032.48,4285.13,26586.320000000003
2013-06-02,311,1508,5924,250,985.87,9560.72,32108.08,1782.5,44437.17
2013-06-03,3323,2041,919,930,10533.91,12939.94,4980.98,6630.9,35085.729999999996
2013-06-04,2431,2073,2537,1790,7706.27,13142.82,13750.54,12762.7,47362.33
2013-06-05,2625,972,2960,1104,8321.25,6162.48,16043.2,7871.52,38398.45
2013-06-06,6356,2813,1534,1361,20148.52,17834.42,8314.28,9703.93,56001.15
2013-06-07,1506,1907,328,281,4774.02,12090.38,1777.76,2003.53,20645.69
2013-06-08,4444,2552,1581,451,14087.48,16179.68,8569.02,3215.63,42051.81
2013-06-09,7325,1560,2257,1892,23220.25,9890.4,12232.94,13489.96,58833.55
2013-06-10,6378,3650,4476,350,20218.26,23141.0,24259.92,2495.5,70114.68
2013-06-11,2446,1578,2155,879,7753.82,10004.52,11680.1,6267.27,35705.71000000001
2013-06-12,5766,253,1657,1236,18278.22,1604.02,8980.94,8812.68,37675.86
2013-06-13,5148,3147,3294,715,16319.16,19951.98,17853.48,5097.95,59222.56999999999
2013-06-14,6740,3944,375,1418,21365.8,25004.96,2032.5,10110.34,58513.59999999999
2013-06-15,1127,500,2958,1649,3572.59,3170.0,16032.36,11757.37,34532.32
2013-06-16,2265,2662,1892,545,7180.05,16877.08,10254.64,3885.85,38197.62
2013-06-17,3033,2724,1199,1135,9614.61,17270.16,6498.58,8092.55,41475.9
2013-06-18,7329,2317,1713,1335,23232.93,14689.78,9284.46,9518.55,56725.72
2013-06-19,6179,1087,741,1043,19587.43,6891.58,4016.22,7436.59,37931.82000000001
2013-06-20,4211,1416,4024,1481,13348.87,8977.44,21810.08,10559.53,54695.92
2013-06-21,4217,2336,1851,427,13367.89,14810.24,10032.42,3044.51,41255.06
2013-06-22,6594,1005,4914,892,20902.98,6371.7,26633.88,6359.96,60268.52
2013-06-23,4841,1550,4508,1759,15345.97,9827.0,24433.36,12541.67,62148.0
2013-06-24,1119,3139,4522,886,3547.23,19901.26,24509.24,6317.18,54274.909999999996
2013-06-25,3168,2088,1253,517,10042.56,13237.92,6791.26,3686.21,33757.95
2013-06-26,6654,867,4037,264,21093.18,5496.78,21880.54,1882.32,50352.82
2013-06-27,3420,1854,4001,588,10841.4,11754.36,21685.42,4192.44,48473.62
2013-06-28,7387,3837,2351,1802,23416.79,24326.58,12742.42,12848.26,73334.05
2013-06-29,1006,1993,3990,1812,3189.02,12635.62,21625.8,12919.56,50370.0
2013-06-30,7042,1629,1885,1165,22323.14,10327.86,10216.7,8306.45,51174.149999999994
2013-07-01,672,1168,5444,750,2130.24,7405.12,29506.48,5347.5,44389.34
2013-07-02,487,1459,856,1899,1543.79,9250.06,4639.52,13539.87,28973.239999999998
2013-07-03,4811,1546,5763,530,15250.87,9801.64,31235.46,3778.9,60066.87
2013-07-04,3927,3235,3583,446,12448.59,20509.9,19419.86,3179.98,55558.33000000001
2013-07-05,536,3938,3539,1645,1699.12,24966.92,19181.38,11728.85,57576.27
2013-07-06,3096,459,4135,1011,9814.32,2910.06,22411.7,7208.43,42344.51
2013-07-07,2001,3830,4526,1873,6343.17,24282.2,24530.92,13354.49,68510.78
2013-07-08,7910,386,720,1117,25074.7,2447.24,3902.4,7964.21,39388.55
2013-07-09,3587,929,987,1813,11370.79,5889.86,5349.54,12926.69,35536.880000000005
2013-07-10,7457,966,5432,1658,23638.69,6124.44,29441.44,11821.54,71026.10999999999
2013-07-11,1664,1281,3457,554,5274.88,8121.54,18736.94,3950.02,36083.38
2013-07-12,5897,706,3549,1676,18693.49,4476.04,19235.58,11949.88,54354.99
2013-07-13,1913,1275,1551,1338,6064.21,8083.5,8406.42,9539.94,32094.07
2013-07-14,5097,3146,5853,324,16157.49,19945.64,31723.26,2310.12,70136.51
2013-07-15,560,3378,2410,1851,1775.2,21416.52,13062.2,13197.63,49451.549999999996
2013-07-16,4798,1021,4117,1926,15209.66,6473.14,22314.14,13732.38,57729.32
2013-07-17,5683,2562,739,484,18015.11,16243.08,4005.38,3450.92,41714.49
2013-07-18,5849,1010,1059,1308,18541.33,6403.4,5739.78,9326.04,40010.55
2013-07-19,3410,2935,2770,1232,10809.7,18607.9,15013.4,8784.16,53215.16
2013-07-20,3254,2349,1996,1866,10315.18,14892.66,10818.32,13304.58,49330.740000000005
2013-07-21,7909,336,2886,751,25071.53,2130.24,15642.12,5354.63,48198.52
2013-07-22,3622,3507,503,265,11481.74,22234.38,2726.26,1889.45,38331.83
2013-07-23,3437,2762,5110,1612,10895.29,17511.08,27696.2,11493.56,67596.13
2013-07-24,7511,377,435,961,23809.87,2390.18,2357.7,6851.93,35409.68
2013-07-25,5523,668,5159,1034,17507.91,4235.12,27961.78,7372.42,57077.229999999996
2013-07-26,5438,1845,5093,1329,17238.46,11697.3,27604.06,9475.77,66015.59
2013-07-27,2880,1894,5611,1116,9129.6,12007.96,30411.62,7957.08,59506.259999999995
2013-07-28,4383,679,3011,902,13894.11,4304.86,16319.62,6431.26,40949.850000000006
2013-07-29,1118,3721,5708,1894,3544.06,23591.14,30937.36,13504.22,71576.78
2013-07-30,6711,1209,1640,1487,21273.87,7665.06,8888.8,10602.31,48430.03999999999
2013-07-31,4905,1457,4470,369,15548.85,9237.38,24227.4,2630.97,51644.600000000006
2013-08-01,282,1466,1178,762,893.94,9294.44,6384.76,5433.06,22006.2
2013-08-02,7616,3945,3929,1593,24142.72,25011.3,21295.18,11358.09,81807.29000000001
2013-08-03,3888,2121,893,443,12324.96,13447.14,4840.06,3158.59,33770.75
2013-08-04,7953,393,2250,486,25211.01,2491.62,12195.0,3465.18,43362.81
2013-08-05,6436,1394,5953,536,20402.12,8837.96,32265.26,3821.68,65327.02
2013-08-06,7826,1610,546,1949,24808.42,10207.4,2959.32,13896.37,51871.51
2013-08-07,7039,1670,5188,502,22313.63,10587.8,28118.96,3579.26,64599.65
2013-08-08,6689,2699,5079,1730,21204.13,17111.66,27528.18,12334.9,78178.87
2013-08-09,1605,3691,4701,564,5087.85,23400.94,25479.42,4021.32,57989.53
2013-08-10,499,1181,4741,838,1581.83,7487.54,25696.22,5974.94,40740.53
2013-08-11,2028,828,914,1108,6428.76,5249.52,4953.88,7900.04,24532.2
2013-08-12,1058,3119,4621,1498,3353.86,19774.46,25045.82,10680.74,58854.88
2013-08-13,4768,2508,2630,1564,15114.56,15900.72,14254.6,11151.32,56421.2
2013-08-14,5841,3098,867,452,18515.97,19641.32,4699.14,3222.76,46079.19
2013-08-15,3358,3388,3890,1640,10644.86,21479.92,21083.8,11693.2,64901.78
2013-08-16,6789,1038,1515,570,21521.13,6580.92,8211.3,4064.1,40377.450000000004
2013-08-17,5012,1955,5664,1047,15888.04,12394.7,30698.88,7465.11,66446.73
2013-08-18,6254,767,1213,406,19825.18,4862.78,6574.46,2894.78,34157.2
2013-08-19,1707,277,497,740,5411.19,1756.18,2693.74,5276.2,15137.310000000001
2013-08-20,3874,2022,3578,1248,12280.58,12819.48,19392.76,8898.24,53391.05999999999
2013-08-21,4323,2593,1663,717,13703.91,16439.62,9013.46,5112.21,44269.2
2013-08-22,4849,3573,2835,1438,15371.33,22652.82,15365.7,10252.94,63642.79000000001
2013-08-23,5292,258,2553,1291,16775.64,1635.72,13837.26,9204.83,41453.450000000004
2013-08-24,6037,1969,5945,1831,19137.29,12483.46,32221.9,13055.03,76897.68000000001
2013-08-25,470,1657,250,1764,1489.9,10505.38,1355.0,12577.32,25927.6
2013-08-26,2943,2508,2750,1944,9329.31,15900.72,14905.0,13860.72,53995.75
2013-08-27,5045,277,3289,1658,15992.65,1756.18,17826.38,11821.54,47396.75
2013-08-28,6601,994,5760,1319,20925.17,6301.96,31219.2,9404.47,67850.8
2013-08-29,807,334,1387,709,2558.19,2117.56,7517.54,5055.17,17248.46
2013-08-31,5650,2776,2516,1685,17910.5,17599.84,13636.72,12014.05,61161.11
2013-09-01,4004,569,4713,553,12692.68,3607.46,25544.46,3942.89,45787.49
2013-09-02,2266,2100,5257,368,7183.22,13314.0,28492.94,2623.84,51614.0
2013-09-03,7251,1721,4925,1152,22985.67,10911.14,26693.5,8213.76,68804.06999999999
2013-09-04,3834,2076,4230,1819,12153.78,13161.84,22926.6,12969.47,61211.69
2013-09-05,7530,1391,3940,489,23870.1,8818.94,21354.8,3486.57,57530.409999999996
2013-09-06,1308,3935,1776,1445,4146.36,24947.9,9625.92,10302.85,49023.03
2013-09-07,7642,3382,2602,1919,24225.14,21441.88,14102.84,13682.47,73452.33
2013-09-08,1754,3651,1169,1959,5560.18,23147.34,6335.98,13967.67,49011.17
2013-09-09,1268,2410,1361,1162,4019.56,15279.4,7376.62,8285.06,34960.64
2013-09-10,7864,920,1253,274,24928.88,5832.8,6791.26,1953.62,39506.560000000005
2013-09-11,1989,3455,2429,1601,6305.13,21904.7,13165.18,11415.13,52790.14
2013-09-12,7251,3412,2289,397,22985.67,21632.08,12406.38,2830.61,59854.74
2013-09-13,4208,1898,3963,1502,13339.36,12033.32,21479.46,10709.26,57561.4
2013-09-14,2755,3567,1805,1582,8733.35,22614.78,9783.1,11279.66,52410.89
2013-09-15,1767,637,1426,1623,5601.39,4038.58,7728.92,11571.99,28940.879999999997
2013-09-16,4208,1221,1267,1170,13339.36,7741.14,6867.14,8342.1,36289.74
2013-09-17,3735,899,4901,1302,11839.95,5699.66,26563.42,9283.26,53386.29
2013-09-18,1805,1258,4111,1065,5721.85,7975.72,22281.62,7593.45,43572.64
2013-09-19,4476,1010,2363,427,14188.92,6403.4,12807.46,3044.51,36444.29
2013-09-20,4981,1326,2374,921,15789.77,8406.84,12867.08,6566.73,43630.42
2013-09-21,1048,703,5470,569,3322.16,4457.02,29647.4,4056.97,41483.55
2013-09-22,7386,1248,1760,954,23413.62,7912.32,9539.2,6802.02,47667.16
2013-09-23,4234,1759,4480,946,13421.78,11152.06,24281.6,6744.98,55600.42
2013-09-24,4725,1484,1205,542,14978.25,9408.56,6531.1,3864.46,34782.369999999995
2013-09-25,3364,264,1772,1430,10663.88,1673.76,9604.24,10195.9,32137.78
2013-09-26,5763,2223,5861,1797,18268.71,14093.82,31766.62,12812.61,76941.76
2013-09-27,2782,2593,2911,855,8818.94,16439.62,15777.62,6096.15,47132.33
2013-09-28,4178,3561,791,1344,13244.26,22576.74,4287.22,9582.72,49690.94
2013-09-29,1102,891,5186,1460,3493.34,5648.94,28108.12,10409.8,47660.2
2013-09-30,2181,1874,1328,1810,6913.77,11881.16,7197.76,12905.3,38897.990000000005
2013-10-01,2728,1642,482,1101,8647.76,10410.28,2612.44,7850.13,29520.61
2013-10-02,2408,1517,3656,640,7633.36,9617.78,19815.52,4563.2,41629.86
2013-10-03,1973,1686,1444,874,6254.41,10689.24,7826.48,6231.62,31001.75
2013-10-04,2993,2788,5440,422,9487.81,17675.92,29484.8,3008.86,59657.39
2013-10-05,886,526,5571,1928,2808.62,3334.84,30194.82,13746.64,50084.92
2013-10-06,407,707,5890,474,1290.19,4482.38,31923.8,3379.62,41075.99
2013-10-07,7127,1517,2024,1659,22592.59,9617.78,10970.08,11828.67,55009.12
2013-10-08,6939,1840,4384,585,21996.63,11665.6,23761.28,4171.05,61594.560000000005
2013-10-09,4165,821,1165,701,13203.05,5205.14,6314.3,4998.13,29720.62
2013-10-10,6935,3743,1611,1875,21983.95,23730.62,8731.62,13368.75,67814.94
2013-10-11,3625,3235,1140,1730,11491.25,20509.9,6178.8,12334.9,50514.850000000006
2013-10-12,4930,2041,5908,821,15628.1,12939.94,32021.36,5853.73,66443.13
2013-10-13,791,3858,422,1406,2507.47,24459.72,2287.24,10024.78,39279.21
2013-10-14,4825,3039,1691,557,15295.25,19267.26,9165.22,3971.41,47699.14
2013-10-15,6150,3561,286,1445,19495.5,22576.74,1550.12,10302.85,53925.21000000001
2013-10-16,613,3797,4241,1022,1943.21,24072.98,22986.22,7286.86,56289.270000000004
2013-10-17,6102,2050,3248,859,19343.34,12997.0,17604.16,6124.67,56069.17
2013-10-18,290,374,1500,1278,919.3,2371.16,8130.0,9112.14,20532.6
2013-10-19,7503,1936,2741,1605,23784.51,12274.24,14856.22,11443.65,62358.62
2013-10-20,7840,1186,5608,1464,24852.8,7519.24,30395.36,10438.32,73205.72
2013-10-21,7170,3208,3470,1554,22728.9,20338.72,18807.4,11080.02,72955.04000000001
2013-10-22,1899,3707,3171,970,6019.83,23502.38,17186.82,6916.1,53625.13
2013-10-23,2742,1350,3573,716,8692.14,8559.0,19365.66,5105.08,41721.880000000005
2013-10-24,3421,2440,3349,1422,10844.57,15469.6,18151.58,10138.86,54604.61
2013-10-25,6539,1590,5998,461,20728.63,10080.6,32509.16,3286.93,66605.31999999999
2013-10-26,4361,3139,4695,842,13824.37,19901.26,25446.9,6003.46,65175.99
2013-10-27,4827,639,4376,916,15301.59,4051.26,23717.92,6531.08,49601.85
2013-10-28,7295,3964,5536,1013,23125.15,25131.76,30005.12,7222.69,85484.72
2013-10-29,3236,1037,4276,1035,10258.12,6574.58,23175.92,7379.55,47388.17
2013-10-30,2326,1687,5379,1664,7373.42,10695.58,29154.18,11864.32,59087.5
2013-11-01,4371,3252,1177,1763,13856.07,20617.68,6379.34,12570.19,53423.28
2013-11-02,3869,3224,3419,261,12264.73,20440.16,18530.98,1860.93,53096.799999999996
2013-11-03,3090,3656,385,698,9795.3,23179.04,2086.7,4976.74,40037.77999999999
2013-11-04,4205,1237,1171,512,13329.85,7842.58,6346.82,3650.56,31169.81
2013-11-05,4419,1768,2023,287,14008.23,11209.12,10964.66,2046.31,38228.31999999999
2013-11-06,7358,948,3103,746,23324.86,6010.32,16818.26,5318.98,51472.42
2013-11-07,7924,3175,5816,1354,25119.08,20129.5,31522.72,9654.02,86425.32
2013-11-08,292,2502,3792,932,925.64,15862.68,20552.64,6645.16,43986.119999999995
2013-11-09,5458,1852,871,362,17301.86,11741.68,4720.82,2581.06,36345.42
2013-11-10,7654,1773,2877,780,24263.18,11240.82,15593.34,5561.4,56658.74
2013-11-11,4841,2850,5617,737,15345.97,18069.0,30444.14,5254.81,69113.92
2013-11-12,7356,2890,848,1628,23318.52,18322.6,4596.16,11607.64,57844.92
2013-11-13,1764,2690,4404,642,5591.88,17054.6,23869.68,4577.46,51093.62
2013-11-14,6843,495,2038,1512,21692.31,3138.3,11045.96,10780.56,46657.13
2013-11-15,5660,3113,891,683,17942.2,19736.42,4829.22,4869.79,47377.63
2013-11-16,5984,830,4810,1786,18969.28,5262.2,26070.2,12734.18,63035.86
2013-11-17,7324,1890,4894,1631,23217.08,11982.6,26525.48,11629.03,73354.19
2013-11-18,7372,1235,533,261,23369.24,7829.9,2888.86,1860.93,35948.93
2013-11-19,3670,3640,1958,1011,11633.9,23077.6,10612.36,7208.43,52532.29
2013-11-20,5453,3284,4166,1391,17286.01,20820.56,22579.72,9917.83,70604.12
2013-11-21,337,513,1657,1498,1068.29,3252.42,8980.94,10680.74,23982.39
2013-11-22,7521,674,3960,401,23841.57,4273.16,21463.2,2859.13,52437.06
2013-11-23,5975,1897,3916,253,18940.75,12026.98,21224.72,1803.89,53996.34
2013-11-24,2081,741,3824,493,6596.77,4697.94,20726.08,3515.09,35535.880000000005
2013-11-25,354,657,3477,462,1122.18,4165.38,18845.34,3294.06,27426.960000000003
2013-11-26,1942,609,2878,1149,6156.14,3861.06,15598.76,8192.37,33808.33
2013-11-27,6661,1995,560,1776,21115.37,12648.3,3035.2,12662.88,49461.74999999999
2013-11-28,7305,2399,629,1322,23156.85,15209.66,3409.18,9425.86,51201.549999999996
2013-11-29,7567,2395,3337,1063,23987.39,15184.3,18086.54,7579.19,64837.420000000006
2013-11-30,5239,3184,3652,1799,16607.63,20186.56,19793.84,12826.87,69414.9
2013-12-01,2677,1376,2608,1531,8486.09,8723.84,14135.36,10916.03,42261.32
2013-12-02,7205,378,824,1067,22839.85,2396.52,4466.08,7607.71,37310.159999999996
2013-12-03,6192,2292,5208,1376,19628.64,14531.28,28227.36,9810.88,72198.16
2013-12-04,6586,2262,5119,1383,20877.62,14341.08,27744.98,9860.79,72824.47
2013-12-05,6285,549,4250,404,19923.45,3480.66,23035.0,2880.52,49319.63
2013-12-06,4297,3406,4753,1219,13621.49,21594.04,25761.26,8691.47,69668.26
2013-12-07,3250,1022,648,456,10302.5,6479.48,3512.16,3251.28,23545.42
2013-12-08,5390,3702,4055,489,17086.3,23470.68,21978.1,3486.57,66021.65
2013-12-09,1084,1530,3054,1760,3436.28,9700.2,16552.68,12548.8,42237.96000000001
2013-12-10,292,2148,2037,1973,925.64,13618.32,11040.54,14067.49,39651.99
2013-12-11,861,2356,1131,1404,2729.37,14937.04,6130.02,10010.52,33806.95
2013-12-12,5712,1563,3032,980,18107.04,9909.42,16433.44,6987.4,51437.299999999996
2013-12-13,3298,2340,1423,495,10454.66,14835.6,7712.66,3529.35,36532.27
2013-12-14,5546,2980,4035,889,17580.82,18893.2,21869.7,6338.57,64682.29
2013-12-15,1510,1771,4093,1381,4786.7,11228.14,22184.06,9846.53,48045.43
2013-12-16,3593,2902,2325,1364,11389.81,18398.68,12601.5,9725.32,52115.31
2013-12-17,6935,634,2606,1138,21983.95,4019.56,14124.52,8113.94,48241.97
2013-12-18,771,2936,757,1491,2444.07,18614.24,4102.94,10630.83,35792.08
2013-12-19,1498,3339,1465,584,4748.66,21169.26,7940.3,4163.92,38022.14
2013-12-20,3150,2898,2515,1726,9985.5,18373.32,13631.3,12306.38,54296.49999999999
2013-12-21,839,3861,596,1393,2659.63,24478.74,3230.32,9932.09,40300.78
2013-12-22,2791,2062,2428,1962,8847.47,13073.08,13159.76,13989.06,49069.369999999995
2013-12-23,3889,2819,1519,300,12328.13,17872.46,8232.98,2139.0,40572.56999999999
2013-12-24,6115,2717,3430,448,19384.55,17225.78,18590.6,3194.24,58395.17
2013-12-25,305,3742,466,538,966.85,23724.28,2525.72,3835.94,31052.789999999997
2013-12-26,3155,3548,3326,1176,10001.35,22494.32,18026.92,8384.88,58907.469999999994
2013-12-27,384,837,645,1276,1217.28,5306.58,3495.9,9097.88,19117.64
2013-12-28,569,3029,3236,954,1803.73,19203.86,17539.12,6802.02,45348.729999999996
2013-12-29,2083,2572,2253,314,6603.11,16306.48,12211.26,2238.82,37359.67
2013-12-30,7876,3021,4604,1097,24966.92,19153.14,24953.68,7821.61,76895.34999999999
2014-01-01,3352,1349,5140,1331,10625.84,8552.66,27858.8,9490.03,56527.33
2014-01-02,6998,3995,4395,269,22183.66,25328.3,23820.9,1917.97,73250.83
2014-01-03,605,615,1604,1050,1917.85,3899.1,8693.68,7486.5,21997.13
2014-01-04,2475,760,4098,1913,7845.75,4818.4,22211.16,13639.69,48515.0
2014-01-05,5166,2570,4661,1214,16376.22,16293.8,25262.62,8655.82,66588.45999999999
